form_ppg_5,form_ppg_10,gd_5,gf_10,ga_10,opp_avg_rating_10,rest_days,matches_seen,team
1.0,1.5,-0.2,1.4,1.0,1591.3794,3,20,South Africa
1.8,1.9,0.6,1.8,1.2,1721.6064000000001,2,20,South Korea
1.6,1.4,0.4,1.3,2.2,1529.3658,2367,17,South Ossetia
0.4,0.6,-2.0,0.6,2.0,1570.3341,188,20,South Sudan
0.0,0.0,-2.3333333333333335,0.3333333333333333,2.6666666666666665,1676.747,15894,3,South Yemen
2.2,2.4,2.2,3.1,0.8,1746.5733,62,20,Spain
0.8,1.3,-1.4,0.9,1.5,1261.7359000000001,195,20,Sri Lanka
0.6,0.7,-1.6,0.5,1.7,1649.3929,149,20,Sudan
1.0,1.0,0.2,1.3,1.4,1659.5759999999998,67,20,Suriname
3.0,3.0,2.0,3.0,1.0,1457.074,2948,1,Surrey
1.4,1.4,-0.2,1.6,1.8,1747.6237,62,20,Sweden
1.6,2.1,1.0,2.5,0.7,1742.9802,1,20,Switzerland
1.6,1.8,0.4,2.0,0.8,1468.3087,172,20,Syria
1.4,1.1,1.2,2.1,2.2,1536.1714,1065,20,Székely Land
0.6,0.9,-1.8,1.1,2.0,1533.2277000000001,1051,20,Sápmi
0.6,0.5,-2.0,0.6,2.1,1464.8120999999999,231,20,São Tomé and Príncipe
1.8,1.6,0.0,1.2,1.4,1505.693,437,20,Tahiti
0.0,0.6,-3.4,1.4,2.9,1320.3044,195,20,Taiwan
2.6,2.2,2.2,2.2,1.2,1199.4974,195,20,Tajikistan
3.0,2.4,2.8,2.7,1.3,1464.579044028886,332,20,Tamil Eelam
1.0,0.5,0.8,1.2,1.4,1509.0095,64,20,Tanzania
2.4,2.4,2.2,2.4,0.7,1303.7556,195,20,Thailand
0.2,0.2,-1.8,1.6,4.1,1499.9948,333,20,Tibet
0.0,0.0,-5.5,1.0,6.5,1391.6675,1030,2,Ticino
0.6,0.3,-2.0,0.6,3.5,1361.4399,195,20,Timor-Leste
1.6,1.2,0.2,0.9,1.0,1527.5475999999999,62,20,Togo
1.2,0.6,0.2,1.2,4.5,1348.4743,630,20,Tonga
